,암호화카드번호,버스노선ID1,버스노선ID2,버스노선ID3,버스노선ID4,버스노선ID5,총통행거리,총탑승시간,총소요시간,승차역ID1,승차역ID2,승차역ID3,승차역ID4,승차역ID5,하차역ID1,하차역ID2,하차역ID3,하차역ID4,하차역ID5,최초승차일시,최종하차일시,최초승차역ID,최종하차역ID,총이용금액,수집건수,총이용객수,사용자구분
31769,900476276992,92-1,82-1,720-2,,,10440,29,29,4108171.0,4116919.0,4116686.0,,,,,,,,20180703215129,20180704000107 ,4108171.0,4116667.0,1350,3,1,1
31774,900352581562,2-1,98,66,,,9880,42,42,4116787.0,4116754.0,4108071.0,,,,,,,,20180703102007,20180703113329 ,4116787.0,4100117.0,1250,3,1,1
31776,900352582834,6,51,720-2,,,21300,62,62,4179262.0,4103122.0,4110254.0,,,,,,,,20180703062918,20180703074111 ,4179262.0,4111750.0,1550,3,1,1
31777,900352582834,720-2,33-1,6,,,22150,69,69,4111752.0,4110270.0,4100519.0,,,,,,,,20180703153159,20180703165931 ,4111752.0,4100513.0,1550,3,1,1
31778,900022923575,8,7-2,25,,,8260,26,26,4170264.0,4108045.0,4117252.0,,,,,,,,20180703155437,20180703165207 ,4170264.0,4116850.0,1250,3,1,1
31780,900364791679,98,712,301,,,11360,29,29,4170974.0,4195716.0,4100049.0,,,,,,,,20180703213656,20180703222217 ,4170974.0,4100029.0,1350,3,1,1
31783,900500710455,720-2,20,202,,,29760,84,84,4116671.0,4107935.0,4117254.0,,,,,,,,20180703201018,20180703223316 ,4116671.0,4130434.0,1190,3,1,4
31785,900466346054,350,909,2-1,,,21470,55,55,4105315.0,4105248.0,4116760.0,,,,,,,,20180703064008,20180703074433 ,4105315.0,4116753.0,2050,3,1,1
31787,900466346054,2-1,110,30-2,,,21370,62,62,4116754.0,4122215.0,4105248.0,,,,,,,,20180703184059,20180703195051 ,4116754.0,4105314.0,2050,3,1,1
31788,100032891575,83-1,310,3,,,5210,21,21,4108071.0,4100114.0,4100140.0,,,,,,,,20180703140010,20180703144845 ,4108071.0,4170100.0,1250,3,1,1
31790,900024662478,65,900,700-2,,,13490,52,52,4160291.0,4108183.0,4107942.0,,,,,,,,20180703075333,20180703085227 ,4160291.0,4117231.0,1350,3,1,1
31791,100463291424,116-2,111,38,,,21490,58,58,4130403.0,4100022.0,4130354.0,,,,,,,,20180703054350,20180703070050 ,4130403.0,4170418.0,1550,3,1,1
31793,900504272182,250,700-2,65,,,23090,75,75,4135054.0,4135037.0,4107937.0,,,,,,,,20180703084712,20180703102750 ,4135054.0,4108146.0,1550,3,1,1
31794,900504272182,65,700-2,250,,,19880,74,74,4108147.0,4107940.0,4135037.0,,,,,,,,20180703154935,20180703171759 ,4108147.0,4135054.0,1450,3,1,1
31795,100033214950,20,20-1,73,,,14420,54,54,4116994.0,4107935.0,4151651.0,,,,,,,,20180703164433,20180703180740 ,4116994.0,4170267.0,1350,3,1,1
31798,900456324252,65,64,42,,,22340,58,58,4160380.0,4103566.0,4108173.0,,,,,,,,20180703203545,20180703220819 ,4160380.0,4102828.0,1110,3,1,4
31803,900513119459,1550-1,8,20,,,20310,60,60,4150273.0,4108017.0,4170271.0,,,,,,,,20180703155123,20180703165604 ,4150273.0,4100023.0,2400,3,1,1
