운수사,사업자ID,노선ID,노선번호,순번,정류장ID,정류장번호,정류소명,구간거리,위도,경도,TM_X,TM_Y
제부여객,4106100,233000077,1000,96,233001290,36364,성호아파트,797,37.19991808,127.0411148,203650.0901,411200.5598
제부여객,4106100,233000077,1000,97,233001229,37516,우남아파트,606,37.19900236,127.0478879,204251.4468,411099.2144
제부여객,4106100,233000077,1000,98,233001288,36689,서동탄역신일해피트리(중),421,37.19952347,127.0525133,204662.0534,411157.2653
제부여객,4106100,233000077,1000,99,233001286,36687,모아미래도.우림필유.평생학습관(중),466,37.19926377,127.0576492,205118.0341,411128.7085
제부여객,4106100,233000077,1000,100,233001644,37589,풍성신미주아파트(중),513,37.19949561,127.0634507,205633.0675,411154.7668
제부여객,4106100,233000077,1000,101,233001224,36664,다은마을(중),677,37.20000647,127.0676105,206002.3206,411211.7186
제부여객,4106100,233000077,1000,102,233002377,37664,동탄홈플러스.다은마을삼성래미안,268,37.20184913,127.0680862,206044.4072,411416.2502
제부여객,4106100,233000077,1000,103,233001968,37666,롯데캐슬.복합문화센터,311,37.2012638,127.0708017,206285.5263,411351.466
제부여객,4106100,233000077,1000,104,233001639,37671,동탄2동행정복지센터,561,37.19644786,127.0729227,206474.2327,410817.1281
제부여객,4106100,233000077,1000,105,233001961,37669,반송고등학교,531,37.19324659,127.0774132,206873.2025,410462.1637
제부여객,4106100,233000077,1000,106,233001962,55130,사랑의교회,405,37.19361284,127.0808862,207181.5179,410503.0682
제부여객,4106100,233000077,1000,107,233002383,37659,동탄2신도시홍보관,409,37.19423015,127.0845373,207505.6219,410571.8612
제부여객,4106100,233000077,1000,108,233001641,55485,반도5차,555,37.19418989,127.0908326,208064.5563,410567.9096
제부여객,4106100,233000077,1000,109,233001648,36993,신미주아파트,313,37.1929541,127.0926726,208228.0554,410430.9179
제부여객,4106100,233000077,1000,110,233000999,36501,리베라CC,1211,37.19072443,127.0990404,208793.6856,410184.038
제부여객,4106100,233000077,1000,111,233000978,36466,한화.린스트라우스,514,37.19537372,127.099047,208793.7289,410700.0239
제부여객,4106100,233000077,1000,112,233003085,55399,동탄역(동측),682,37.19964684,127.0963024,208549.5768,411174.0088
