"운수사","사업자ID","노선ID","노선번호","순번","정류소ID","정류소번호","정류소명","구간거리","위도","경도","TM_X","TM_Y"
"(화성)금오운수","4132400","41324004","27-2","35","4170336","37943","자연앤아너스빌","356","37.20856667","127.0608","205329.759879248","411859.06482556"
"(화성)금오운수","4132400","41324004","27-2","36","4101578","37951","숲속자연앤","173","37.20715","127.0600333","205262.332602047","411700.326436783"
"(화성)금오운수","4132400","41324004","27-2","37","4170253","37732","모아미래도아파트","181","37.20708333","127.0587","205143.434883776","411693.732004757"
"(화성)금오운수","4132400","41324004","27-2","38","4170406","37734","한마음초교.광명메이루즈","160","37.20758333","127.05705","204996.764887097","411749.587736037"
"(화성)금오운수","4132400","41324004","27-2","39","4170290","37740","자연앤아너스빌.한마음초교","216","37.20825","127.0547333","204791.447149584","411822.229802754"
"(화성)금오운수","4132400","41324004","27-2","40","4198444","55144","모아미래도아파트","273","37.20871667","127.0518","204530.446652192","411875.194206664"
"(화성)금오운수","4132400","41324004","27-2","41","4170520","37705","신미주아파트","151","37.20895","127.0501","204380.62426376","411900.104332066"
"(화성)금오운수","4132400","41324004","27-2","42","4115398","55269","정든공원.숲속풍성신미주","161","37.20978333","127.0487833","204262.513582051","411992.685498334"
"(화성)금오운수","4132400","41324004","27-2","43","4116267","55281","안화고등학교","215","37.21143333","127.0475167","204150.099434843","412176.255408935"
"(화성)금오운수","4132400","41324004","27-2","44","4108016","36372","안화초교.주공8.9단지","247","37.2133","127.0460833","204022.553611044","412383.299339313"
"(화성)금오운수","4132400","41324004","27-2","45","4170338","36795","중심상가","324","37.21515","127.04375","203816.717817107","412588.074630863"
"(화성)금오운수","4132400","41324004","27-2","46","4119331","55279","롯데시네마","138","37.21448333","127.04245","203700.507044168","412513.438743133"
"(화성)금오운수","4132400","41324004","27-2","47","4130129","36354","진안동","327","37.21301667","127.0393","203420.603373172","412351.155079458"
"(화성)금오운수","4132400","41324004","27-2","48","4170271","36753","병점사거리","872","37.20838333","127.0344333","202989.074635143","411837.64728282"
"(화성)금오운수","4132400","41324005","17-1","0","4170487","55034","병점역","0","37.20683333","127.0338333","202936.068169465","411663.991147264"
"(화성)금오운수","4132400","41324005","17-1","1","4119338","55397","화성보건소","304","37.20436667","127.0350833","203047.629386836","411391.369539004"
"(화성)금오운수","4132400","41324005","17-1","2","4170485","55037","홈플러스","159","37.20305","127.0358667","203117.018960139","411245.608087402"
"(화성)금오운수","4132400","41324005","17-1","3","4170352","37738","한신아파트","650","37.20331667","127.0420167","203662.781500792","411274.464306839"
"(화성)금오운수","4132400","41324005","17-1","4","4199076","37683","구봉산근린공원","267","37.20361667","127.0442167","203857.465936471","411307.455166875"
"(화성)금오운수","4132400","41324005","17-1","5","4119339","55295","성호아파트후문","317","37.20085","127.0445333","203886.428842666","411000.371638282"
"(화성)금오운수","4132400","41324005","17-1","6","4170867","37516","우남아파트","434","37.19898333","127.04785","204181.218366496","410793.61124397"
"(화성)금오운수","4132400","41324005","17-1","7","4197436","55150","신일해피트리아파트","564","37.2003","127.0533","204664.359789118","410941.36069889"
"(화성)금오운수","4132400","41324005","17-1","8","4170969","37977","푸른마을.두산위브","322","37.20318333","127.0535833","204688.952808195","411260.906753645"
"(화성)금오운수","4132400","41324005","17-1","9","4170367","55102","나래울","247","37.20528333","127.05265","204607.018724091","411493.848291304"
"(화성)금오운수","4132400","41324005","17-1","10","4171006","37975","모아미래도.자연앤","255","37.20751667","127.0523667","204581.832043435","411741.11687486"
"(화성)금오운수","4132400","41324005","17-1","11","4199454","37863","자연앤데시앙","294","37.20806667","127.05475","204792.844912848","411802.50581004"
"(화성)금오운수","4132400","41324005","17-1","12","4197609","55100","한마음초교.광명메이루즈","195","37.2075","127.0568","204975.077887735","411739.863672718"
"(화성)금오운수","4132400","41324005","17-1","13","4199438","37789","모아미래도아파트","175","37.20691667","127.0586167","205136.36383931","411675.383091903"
"(화성)금오운수","4132400","41324005","17-1","14","4101605","37952","숲속자연앤","200","37.2072","127.0603833","205292.619236331","411706.910487715"
