정류소명,no
주공5단지,397
숙지공원.화서동굿모닝힐.화서다산도서관,522
서수원버스터미널,379
온누리교회,1156
송탄역,14
하북차고지,4
매교역3번출구.성원아파트,817
위례서일로마을입구,8
밀알교회,71
우방아파트,599
호반3차.신리고,409
동탄1동주민센터,2566
한국가스안전공사.택시공제조합,220
죽전역.수지레스피아.죽전2동주민센터.신세계경기점,1306
수원컨벤션센터.롯데아울렛,1322
원희캐슬.센트럴아이파크,2167
병점화남아파트,631
반월초등학교,289
우방아파트,1853
창룡문,627
KBS수원센타,744
장안등기소.성우아파트,1385
하탑중학교,243
구매탄시장입구,867
무궁화한양아파트.방축사거리,402
현대홈타운,179
현대모닝사이드1차,35
통미마을.보라1동,278
열녀문사거리,14
수원버스터미널,1996
이마트앞,910
백현마을4단지상가,600
서울대병원,484
삼동.갈마주유소,53
도촌북로입구,543
아튼빌후문,31
권선사거리.SK뷰아파트,484
숲속자연앤,133
아주대학교입구,1025
삼성반도체정문,929
수원전통문화관.장안동,5560
크리스찬교회,278
중심상가.화성고용센터,1351
광교센트럴타운62단지.힐스테이트레이크,172
중앙대.롯데캐슬아파트,13
수원시청역3번출구.서울보증보험,1482
수원시평생학습관.우만주공아파트,603
수원시청역1번출구.국민연금공단.경인일보,800
세마대입구.세마대사거리,187
이목동.장안STX칸,854
경희대정문,165
정자초교사거리,518
만석공원.정자초교.벽산아파트,611
장안문,1020
보훈원복지타운.보훈요양원,782
중소기업은행,2442
매교역7번출구.문화맨션,967
새터마을,50
롯데백화점.범계역.엔씨백화점,140
동오리,27
곡반정동차고지,702
경기문화재단.매탄주공4.5단지,1386
비산롯데캐슬,70
국민은행.엔씨백화점,303
매화마을주공3단지,174
영통빌리지,899
아주대병원,885
반월리큰고개,3103
블루밍푸른숲아파트,744
수원고용복지플러스센터.동수원병원.라마다호텔,1678
광교호수공원입구,329
한국물류센타,670
KT수지지사.물류센터,317
대우푸르지오,511
극동아파트,692
육탄10용사기념공원,172
그린피아호텔,538
수원원일중학교.매원고등학교,177
법원가사과.동수원등기소,80
(구)단대동주민센터,113
발안농협,4
호계사거리.호계전통시장,723
평생플러스빌,771
우미아파트,672
정남파출소,95
고잔고,30
한양대입구,452
동탄1동주민센터,1212
수원고용복지플러스센터.동수원사거리.삼성생명,1245
